dateonly,sunrise,sunset,sunrisehour,sunsethour
2021-01-01,720.0,1639.0,7,16
2021-01-02,720.0,1640.0,7,16
2021-01-03,720.0,1641.0,7,16
2021-01-04,720.0,1642.0,7,16
2021-01-05,720.0,1643.0,7,16
2021-01-06,720.0,1644.0,7,16
2021-01-07,720.0,1644.0,7,16
2021-01-08,720.0,1645.0,7,16
2021-01-09,720.0,1646.0,7,16
2021-01-10,720.0,1647.0,7,16
2021-01-11,720.0,1649.0,7,16
2021-01-12,719.0,1650.0,7,16
2021-01-13,719.0,1651.0,7,16
2021-01-14,719.0,1652.0,7,16
2021-01-15,718.0,1653.0,7,16
2021-01-16,718.0,1654.0,7,16
2021-01-17,717.0,1655.0,7,16
2021-01-18,717.0,1656.0,7,16
2021-01-19,716.0,1657.0,7,16
2021-01-20,716.0,1659.0,7,16
2021-01-21,715.0,1700.0,7,17
2021-01-22,715.0,1701.0,7,17
2021-01-23,714.0,1702.0,7,17
2021-01-24,713.0,1703.0,7,17
2021-01-25,712.0,1705.0,7,17
2021-01-26,712.0,1706.0,7,17
2021-01-27,711.0,1707.0,7,17
2021-01-28,710.0,1708.0,7,17
2021-01-29,709.0,1710.0,7,17
2021-01-30,708.0,1711.0,7,17
2021-01-31,707.0,1712.0,7,17
2021-02-01,706.0,1713.0,7,17
2021-02-02,705.0,1714.0,7,17
2021-02-03,704.0,1716.0,7,17
2021-02-04,703.0,1717.0,7,17
2021-02-05,702.0,1718.0,7,17
2021-02-06,701.0,1719.0,7,17
2021-02-07,700.0,1721.0,7,17
2021-02-08,659.0,1722.0,6,17
2021-02-09,658.0,1723.0,6,17
2021-02-10,657.0,1724.0,6,17
2021-02-11,655.0,1726.0,6,17
2021-02-12,654.0,1727.0,6,17
2021-02-13,653.0,1728.0,6,17
2021-02-14,652.0,1729.0,6,17
2021-02-15,650.0,1730.0,6,17
2021-02-16,649.0,1732.0,6,17
2021-02-17,648.0,1733.0,6,17
2021-02-18,646.0,1734.0,6,17
2021-02-19,645.0,1735.0,6,17
2021-02-20,644.0,1736.0,6,17
2021-02-21,642.0,1738.0,6,17
2021-02-22,641.0,1739.0,6,17
2021-02-23,639.0,1740.0,6,17
2021-02-24,638.0,1741.0,6,17
2021-02-25,636.0,1742.0,6,17
2021-02-26,635.0,1743.0,6,17
2021-02-27,633.0,1745.0,6,17
2021-02-28,632.0,1746.0,6,17
2021-03-01,630.0,1747.0,6,17
2021-03-02,629.0,1748.0,6,17
2021-03-03,627.0,1749.0,6,17
2021-03-04,626.0,1750.0,6,17
2021-03-05,624.0,1751.0,6,17
2021-03-06,623.0,1753.0,6,17
2021-03-07,621.0,1754.0,6,17
2021-03-08,619.0,1755.0,6,17
2021-03-09,618.0,1756.0,6,17
2021-03-10,616.0,1757.0,6,17
2021-03-11,615.0,1758.0,6,17
2021-03-12,613.0,1759.0,6,17
2021-03-13,611.0,1800.0,6,18
2021-03-14,610.0,1801.0,6,18
2021-03-15,608.0,1802.0,6,18
2021-03-16,606.0,1803.0,6,18
2021-03-17,605.0,1805.0,6,18
2021-03-18,603.0,1806.0,6,18
2021-03-19,601.0,1807.0,6,18
2021-03-20,600.0,1808.0,6,18
2021-03-21,558.0,1809.0,5,18
2021-03-22,556.0,1810.0,5,18
2021-03-23,555.0,1811.0,5,18
2021-03-24,553.0,1812.0,5,18
2021-03-25,551.0,1813.0,5,18
2021-03-26,550.0,1814.0,5,18
2021-03-27,548.0,1815.0,5,18
2021-03-28,547.0,1816.0,5,18
2021-03-29,545.0,1817.0,5,18
2021-03-30,543.0,1818.0,5,18
2021-03-31,542.0,1819.0,5,18
2021-04-01,540.0,1820.0,5,18
2021-04-02,538.0,1821.0,5,18
2021-04-03,537.0,1823.0,5,18
2021-04-04,535.0,1824.0,5,18
2021-04-05,533.0,1825.0,5,18
2021-04-06,532.0,1826.0,5,18
2021-04-07,530.0,1827.0,5,18
2021-04-08,529.0,1828.0,5,18
2021-04-09,527.0,1829.0,5,18
2021-04-10,525.0,1830.0,5,18
2021-04-11,524.0,1831.0,5,18
2021-04-12,522.0,1832.0,5,18
2021-04-13,521.0,1833.0,5,18
2021-04-14,519.0,1834.0,5,18
2021-04-15,518.0,1835.0,5,18
2021-04-16,516.0,1836.0,5,18
2021-04-17,514.0,1837.0,5,18
2021-04-18,513.0,1838.0,5,18
2021-04-19,511.0,1839.0,5,18
2021-04-20,510.0,1840.0,5,18
2021-04-21,508.0,1841.0,5,18
2021-04-22,507.0,1842.0,5,18
2021-04-23,506.0,1844.0,5,18
2021-04-24,504.0,1845.0,5,18
2021-04-25,503.0,1846.0,5,18
2021-04-26,501.0,1847.0,5,18
2021-04-27,500.0,1848.0,5,18
2021-04-28,459.0,1849.0,4,18
2021-04-29,457.0,1850.0,4,18
2021-04-30,456.0,1851.0,4,18
2021-05-01,455.0,1852.0,4,18
2021-05-02,453.0,1853.0,4,18
2021-05-03,452.0,1854.0,4,18
2021-05-04,451.0,1855.0,4,18
2021-05-05,450.0,1856.0,4,18
2021-05-06,449.0,1857.0,4,18
2021-05-07,447.0,1858.0,4,18
2021-05-08,446.0,1859.0,4,18
2021-05-09,445.0,1900.0,4,19
2021-05-10,444.0,1901.0,4,19
2021-05-11,443.0,1902.0,4,19
2021-05-12,442.0,1903.0,4,19
2021-05-13,441.0,1904.0,4,19
2021-05-14,440.0,1905.0,4,19
2021-05-15,439.0,1906.0,4,19
2021-05-16,438.0,1907.0,4,19
2021-05-17,437.0,1908.0,4,19
2021-05-18,436.0,1909.0,4,19
2021-05-19,435.0,1910.0,4,19
2021-05-20,434.0,1911.0,4,19
2021-05-21,434.0,1912.0,4,19
2021-05-22,433.0,1913.0,4,19
2021-05-23,432.0,1914.0,4,19
2021-05-24,431.0,1914.0,4,19
2021-05-25,431.0,1915.0,4,19
2021-05-26,430.0,1916.0,4,19
2021-05-27,429.0,1917.0,4,19
2021-05-28,429.0,1918.0,4,19
2021-05-29,428.0,1919.0,4,19
2021-05-30,428.0,1919.0,4,19
2021-05-31,427.0,1920.0,4,19
2021-06-01,427.0,1921.0,4,19
2021-06-02,426.0,1922.0,4,19
2021-06-03,426.0,1922.0,4,19
2021-06-04,426.0,1923.0,4,19
2021-06-05,425.0,1924.0,4,19
2021-06-06,425.0,1924.0,4,19
2021-06-07,425.0,1925.0,4,19
2021-06-08,425.0,1925.0,4,19
2021-06-09,424.0,1926.0,4,19
2021-06-10,424.0,1927.0,4,19
2021-06-11,424.0,1927.0,4,19
2021-06-12,424.0,1928.0,4,19
2021-06-13,424.0,1928.0,4,19
2021-06-14,424.0,1928.0,4,19
2021-06-15,424.0,1929.0,4,19
2021-06-16,424.0,1929.0,4,19
2021-06-17,424.0,1930.0,4,19
2021-06-18,424.0,1930.0,4,19
2021-06-19,424.0,1930.0,4,19
2021-06-20,424.0,1930.0,4,19
2021-06-21,425.0,1931.0,4,19
2021-06-22,425.0,1931.0,4,19
2021-06-23,425.0,1931.0,4,19
2021-06-24,425.0,1931.0,4,19
2021-06-25,426.0,1931.0,4,19
2021-06-26,426.0,1931.0,4,19
2021-06-27,426.0,1931.0,4,19
2021-06-28,427.0,1931.0,4,19
2021-06-29,427.0,1931.0,4,19
2021-06-30,428.0,1931.0,4,19
2021-07-01,428.0,1931.0,4,19
2021-07-02,429.0,1931.0,4,19
2021-07-03,429.0,1931.0,4,19
2021-07-04,430.0,1931.0,4,19
2021-07-05,430.0,1930.0,4,19
2021-07-06,431.0,1930.0,4,19
2021-07-07,431.0,1930.0,4,19
2021-07-08,432.0,1929.0,4,19
2021-07-09,433.0,1929.0,4,19
2021-07-10,433.0,1929.0,4,19
2021-07-11,434.0,1928.0,4,19
2021-07-12,435.0,1928.0,4,19
2021-07-13,436.0,1927.0,4,19
2021-07-14,436.0,1927.0,4,19
2021-07-15,437.0,1926.0,4,19
2021-07-16,438.0,1926.0,4,19
2021-07-17,439.0,1925.0,4,19
2021-07-18,440.0,1924.0,4,19
2021-07-19,440.0,1924.0,4,19
2021-07-20,441.0,1923.0,4,19
2021-07-21,442.0,1922.0,4,19
2021-07-22,443.0,1921.0,4,19
2021-07-23,444.0,1920.0,4,19
2021-07-24,445.0,1920.0,4,19
2021-07-25,446.0,1919.0,4,19
2021-07-26,446.0,1918.0,4,19
2021-07-27,447.0,1917.0,4,19
2021-07-28,448.0,1916.0,4,19
2021-07-29,449.0,1915.0,4,19
2021-07-30,450.0,1914.0,4,19
2021-07-31,451.0,1913.0,4,19
2021-08-01,452.0,1912.0,4,19
2021-08-02,453.0,1911.0,4,19
2021-08-03,454.0,1909.0,4,19
2021-08-04,455.0,1908.0,4,19
2021-08-05,456.0,1907.0,4,19
2021-08-06,457.0,1906.0,4,19
2021-08-07,458.0,1905.0,4,19
2021-08-08,459.0,1904.0,4,19
