dateonly,hour,hourlyprecipitation,hourlywindspeed,dailysnowfall,date
2023-01-01,0,0.0,7.0,0.0,2023-01-01 00:20:00
2023-01-01,0,0.0,7.0,0.0,2023-01-01 00:36:00
2023-01-01,0,0.0,7.0,0.0,2023-01-01 00:49:00
2023-01-01,0,0.0,7.0,0.0,2023-01-01 00:51:00
2023-01-01,1,0.0,8.0,0.0,2023-01-01 01:51:00
2023-01-01,2,0.0,6.0,0.0,2023-01-01 02:51:00
2023-01-01,3,0.0,9.0,0.0,2023-01-01 03:51:00
2023-01-01,4,0.0,5.0,0.0,2023-01-01 04:51:00
2023-01-01,5,0.0,3.0,0.0,2023-01-01 05:51:00
2023-01-01,6,0.0,5.0,0.0,2023-01-01 06:51:00
2023-01-01,7,0.0,6.0,0.0,2023-01-01 07:51:00
2023-01-01,8,0.0,7.0,0.0,2023-01-01 08:51:00
2023-01-01,9,0.0,7.0,0.0,2023-01-01 09:51:00
2023-01-01,10,0.0,6.0,0.0,2023-01-01 10:51:00
2023-01-01,11,0.0,8.0,0.0,2023-01-01 11:51:00
2023-01-01,12,0.0,10.0,0.0,2023-01-01 12:51:00
2023-01-01,13,0.0,6.0,0.0,2023-01-01 13:51:00
2023-01-01,14,0.0,7.0,0.0,2023-01-01 14:51:00
2023-01-01,15,0.0,5.0,0.0,2023-01-01 15:51:00
2023-01-01,16,0.0,3.0,0.0,2023-01-01 16:51:00
2023-01-01,17,0.0,0.0,0.0,2023-01-01 17:51:00
2023-01-01,18,0.0,3.0,0.0,2023-01-01 18:51:00
2023-01-01,19,0.0,3.0,0.0,2023-01-01 19:51:00
2023-01-01,20,0.0,0.0,0.0,2023-01-01 20:51:00
2023-01-01,21,0.0,0.0,0.0,2023-01-01 21:51:00
2023-01-01,22,0.0,5.0,0.0,2023-01-01 22:51:00
2023-01-01,23,0.0,0.0,0.0,2023-01-01 23:51:00
2023-01-01,23,0.0,0.0,0.0,2023-01-01 23:59:00
2023-01-02,0,0.0,0.0,0.0,2023-01-02 00:51:00
2023-01-02,1,0.0,3.0,0.0,2023-01-02 01:51:00
2023-01-02,2,0.0,3.0,0.0,2023-01-02 02:51:00
2023-01-02,3,0.0,0.0,0.0,2023-01-02 03:51:00
2023-01-02,4,0.0,5.0,0.0,2023-01-02 04:51:00
2023-01-02,5,0.0,5.0,0.0,2023-01-02 05:51:00
2023-01-02,6,0.0,6.0,0.0,2023-01-02 06:51:00
2023-01-02,7,0.0,5.0,0.0,2023-01-02 07:51:00
2023-01-02,8,0.0,3.0,0.0,2023-01-02 08:51:00
2023-01-02,9,0.0,5.0,0.0,2023-01-02 09:51:00
2023-01-02,10,0.0,3.0,0.0,2023-01-02 10:51:00
2023-01-02,11,0.0,3.0,0.0,2023-01-02 11:51:00
2023-01-02,12,0.0,5.0,0.0,2023-01-02 12:51:00
2023-01-02,13,0.0,5.0,0.0,2023-01-02 13:51:00
2023-01-02,14,0.0,7.0,0.0,2023-01-02 14:51:00
2023-01-02,15,0.0,6.0,0.0,2023-01-02 15:51:00
2023-01-02,16,0.0,7.0,0.0,2023-01-02 16:51:00
2023-01-02,17,0.0,3.0,0.0,2023-01-02 17:51:00
2023-01-02,18,0.0,5.0,0.0,2023-01-02 18:51:00
2023-01-02,19,0.0,0.0,0.0,2023-01-02 19:51:00
2023-01-02,20,0.0,5.0,0.0,2023-01-02 20:51:00
2023-01-02,20,0.0,5.0,0.0,2023-01-02 20:58:00
2023-01-02,21,0.01,6.0,0.0,2023-01-02 21:29:00
2023-01-02,21,0.01,6.0,0.0,2023-01-02 21:51:00
2023-01-02,22,0.01,0.0,0.0,2023-01-02 22:51:00
2023-01-02,23,0.0,0.0,0.0,2023-01-02 23:51:00
